t,euler1,euler2,heun1,heun2
14.5,9.143565566729325e+20,-2.7287055523317547e+21,61430126487351.875,-428051150905792.9
15.0,-4.855897283982581e+21,1.4491407956399247e+22,-1120116642693564.9,1154696904319592.5
15.5,2.5788340730435566e+22,-7.695989931172302e+22,3798237178790869.0,-347099222013792.5
16.0,-1.3695481570887107e+23,4.087129504524845e+23,-3958563559275550.0,-9934107615948074.0
16.5,7.273295223571385e+23,-2.170562557403574e+24,-2.1613987943509704e+16,4.241216191105741e+16
17.0,-3.8626479204410874e+24,1.1527263352889689e+25,1.2361878746667456e+17,-6.938030411437686e+16
17.5,2.0513465353275887e+25,-6.121813902743352e+25,-2.7404554858694854e+17,-1.4246156171721528e+17
18.0,-1.0894139705904064e+26,3.251127723253328e+26,-1.3314933913040864e+17,1.2383217786991299e+18
18.5,5.785579271363948e+26,-1.7265849045443446e+27,3.204154721465195e+18,-3.4696913549462313e+18
19.0,-3.072562718017612e+27,9.169419617932728e+27,-1.1281609291957883e+19,1.5117027642147635e+18
19.5,1.6317539201093952e+28,-4.869627662586238e+28,1.2959666471867634e+19,2.8009602464604135e+19
20.0,-8.665798228230395e+28,2.586125901125608e+29,5.9478077570028044e+19,-1.2479793244257724e+20
20.5,4.602168133744484e+29,-1.3734206473027846e+30,-3.603951167290535e+20,2.1610313718999355e+20
21.0,-2.444085469501897e+30,7.293860958650919e+30,8.335293692132511e+20,3.722546950889127e+20
21.5,1.297986863719822e+31,-3.8735698191672473e+31,2.5235221352499878e+20,-3.57634322755153e+21
22.0,-6.893252790920502e+31,2.0571468566544543e+32,-9.146209682634793e+21,1.0404017305566082e+22
22.5,3.6608177915882276e+32,-1.0924943624104029e+33,3.3452771393159276e+22,-5.871500805565487e+21
23.0,-1.944160080834538e+33,5.801938388781721e+33,-4.190094473509709e+22,-7.873065140683236e+22
23.5,1.0324901798160045e+34,-3.0812505972981386e+34,-1.6272973473889563e+23,3.6666030554980576e+23
24.0,-5.483272606640937e+34,1.6363678148853439e+35,1.0490720855182906e+24,-6.697722956629102e+23
24.5,2.9120159267855584e+35,-8.69030135991092e+35,-2.528113148747784e+24,-9.568055623826561e+23
25.0,-1.546491915718835e+36,4.615181075983285e+36,-3.347618311631312e+23,1.0310781451237568e+25
25.5,8.212995071162718e+36,-2.4509962867769374e+37,2.604936606820292e+25,-3.1134386433417904e+25
26.0,-4.361696776642359e+37,1.301657009527938e+38,-9.903363772154487e+25,2.1401534159266527e+25
26.5,2.3163777168417376e+38,-6.91274393027023e+38,1.3409245809407344e+26,2.2055852240406397e+26
27.0,-1.2301647734465836e+39,3.671169001949146e+39,4.4227856823610774e+26,-1.0756322276084672e+27
27.5,6.53306824196271e+39,-1.949657325198423e+40,-3.048984753923301e+27,2.0666420008311522e+27
28.0,-3.4695336409740743e+40,1.0354096157604577e+41,7.647716345582966e+27,2.407049256289573e+27
28.5,1.8425743065917182e+41,-5.4987769314800505e+41,-2.057060354942046e+26,-2.967332702396226e+28
