euler1,euler2,heun1,heun2
1.0,1.236771051610094,2.310076384808335,1.4786960953905062,2.706899471325243
1.03125,1.200030550683412,2.265259778193409,1.439087311154353,2.6724332490580145
1.0625,1.161851854678188,2.2170295988432502,1.396497581974799,2.6324313542558806
1.09375,1.122354960278037,2.1655829051183875,1.3510151243432678,2.5869766402739014
1.125,1.081659176156127,2.111117803024546,1.3027341467972837,2.5361632554385865
1.15625,1.0398828955611155,2.0538330062379746,1.25175465478483,2.4800964480426564
1.1875,0.9971433772742689,1.9939274074016686,1.1981822435208707,2.4188923483473026
1.21875,0.9535565351528745,1.9315996612590884,1.142127879265097,2.3526777280434765
1.25,0.909236736451144,1.8670477801513212,1.0837076694739423,2.2815897376704353
1.28125,0.8642966090861967,1.8004687423630672,1.0230426223029574,2.2057756225354224
1.3125,0.8188468579934165,1.732058113762407,0.9602583959576996,2.125392417722905
1.34375,0.7729960906925498,1.6620096831391087,0.8954850384123122,2.040606622825095
1.375,0.7268506521633873,1.5905151116063578,0.8288567180349296,1.9515938570674911
1.40625,0.6805144691077833,1.5177635963912726,0.7605114456778747,1.8585384955437891
1.4375,0.6340889036531491,1.4439415493005257,0.6905907888082985,1.7616332873136358
1.46875,0.5876726165314371,1.36923229010885,0.6192395782713978,1.6610789561542747
1.5,0.5413614397470518,1.293815755080259,0.5466056082936095,1.5570837847930612
1.53125,0.4952482587270892,1.2178682207945033,0.4728393303471832,1.4498631834820426
1.5625,0.44942290392786954,1.1415620434146934,0.3980935415102486,1.3396392438082367
1.59375,0.40397205185288637,1.0650654134961686,0.322523067967899,1.2266402786638197
1.625,0.35897913541909304,0.9885421264016794,0.24628444430987495,1.1111003493291105
1.65625,0.3145242635908866,0.9121513683537759,0.16953558928914322,0.9932587806479269
1.6875,0.27068415018426,0.8360475181220509,0.09243547871299382,0.8733596652995629
1.71875,0.22753205172738597,0.7603799643105783,0.015143816144221472,0.7516513581942146
1.75,0.18513771424838343,0.6852929381795785,-0.062179297905507,0.6283859620391488
1.78125,0.14356732884621792,0.6109253619050623,-0.13937369760487336,0.503818805141192
1.8125,0.10288349588660432,0.5374107121509818,-0.2162794835677861,0.37820791252720537
1.84375,0.06314519765142698,0.4648768988002889,-0.2927373540667036,0.251813471478049
1.875,0.024407779257574598,0.39344615866429283,-0.3685889350083319,0.12489729258311627
1.90625,-0.013277062350790798,0.32323496396384105,-0.44367710798818927,-0.002277732568205515
1.9375,-0.04986128154364486,0.25435394535114497,-0.5178463357445084,-0.12944817593482144
1.96875,-0.08530047949769408,0.18690782921755222,-0.5909429843373339,-0.25635061868399645
2.0,-0.11955389226729488,0.12099538901024301,-0.662815641385454,-0.3827221968329334
2.03125,-0.1525843716697392,0.05670941025971449,-0.7333154297019723,-0.5083011457416285
2.0625,-0.18435835922910238,-0.005863330999979266,-0.8022963156788546,-0.6328273423291492
2.09375,-0.2148458534302656,-0.06664207675493412,-0.8696154117816624,-0.756042843890193
2.125,-0.24402037054141118,-0.1255520828331947,-0.9351332725278828,-0.8776924223958302
2.15625,-0.2718588992692474,-0.1825246023950017,-0.9987141833357659,-0.9975240931716794
2.1875,-0.298341849516464,-0.23749685747682855,-1.0602264416453417,-1.115289636858419
2.21875,-0.32345299551545426,-0.29041199898830683,-1.1195426297293016,-1.2307451135734424
2.25,-0.34717941361617954,-0.34121905557368165,-1.1765398786286374,-1.3436513682086257
2.28125,-0.36951141500920615,-0.3898728717607696,-1.2311001226663167,-1.4537745258175312
2.3125,-0.3904424736674279,-0.43633403583052527,-1.2831103440117912,-1.560886476065898
2.34375,-0.40996914979181304,-0.48056879784927037,-1.332462806789736,-1.6647653457419276
2.375,-0.42809100904769654,-0.5225489783134187,-1.379055280248083,-1.7651959583475982
2.40625,-0.4448105378786946,-0.562251867863154,-1.4227912505230704,-1.8619702798190065
2.4375,-0.46013305518526426,-0.5996601185270102,-1.4635801205626449,-1.954887849452463
2.46875,-0.4740666206542828,-0.6347616269636835,-1.501337397794091,-2.0437561951437107
2.5,-0.48662194002480164,-0.6675494101706924,-1.5359848691471392,-2.1283912320801313
2.53125,-0.49781226757335084,-0.6980214741317263,-1.5674507630700019,-2.2086176440600784
2.5625,-0.5076533060998579,-0.7261806758757067,-1.5956698982027222,-2.2842692466494565
2.59375,-0.5161631046924151,-0.7520345794207505,-1.6205838183998655,-2.3551893314232912
2.625,-0.5233619545458055,-0.7755953060754179,-1.6421409138228527,-2.421230990579216
2.65625,-0.529272283104897,-0.796879379567849,-1.6602965278510928,-2.4822574212504516
2.6875,-0.5339185467997645,-0.8159075664707067,-1.675013049590446,-2.5381422088879106
2.71875,-0.5373271226347122,-0.8327047123862548,-1.6862599917873782,-2.58876958912441
2.75,-0.5395261988882802,-0.8472995743514549,-1.694014053987406,-2.634034687578545
2.78125,-0.5405456651758355,-0.8597246499176995,-1.6982591708069874,-2.673843737101481
2.8125,-0.5404170021205021,-0.8700160033537321,-1.6989865452188535,-2.7081142720166307
2.84375,-0.5391731708720029,-0.8782130894134906,-1.6961946667818188,-2.736775298949852
2.875,-0.53684850270647,-0.8843585751030743,-1.689889314777293,-2.759767443896284
2.90625,-0.5334785889334852,-0.8884981598728074,-1.6800835462459813,-2.777043075219162
2.9375,-0.529100171329525,-0.8906803946515096,-1.666797668949536,-2.7885664023258157
2.96875,-0.5237510333096596,-0.8909565001305945,-1.650059199313154,-2.7943135498164184
3.0,-0.517469892041789,-0.8893801846955709,-1.6299028054362152,-2.7942726069518775
3.03125,-0.5102962916999364,-0.886007462391925,-1.6063702352889997,-2.78844365233837
3.0625,-0.5022704980451587,-0.8808964713012707,-1.5795102302441932,-2.7768387537773664
3.09375,-0.4934333945145192,-0.8741072926921055,-1.5493784241222794,-2.7594819432814264
3.125,-0.4838263799903081,-0.8657017712975262,-1.5160372279599172,-2.736409167307491
3.15625,-0.4734912684133104,-0.8557433370598955,-1.4795557007399769,-2.7076682123107325
3.1875,-0.4624701903954427,-0.8442968286697279,-1.4400094063509885,-2.6733186057731397
3.21875,-0.4508054969785151,-0.8314283192130344,-1.3974802570722789,-2.633431492911824
3.25,-0.4385396656772546,-0.8172049442280456,-1.3520563439089845,-2.5880894893223996
3.28125,-0.4257152089360615,-0.8016947324586805,-1.3038317541283713,-2.537386509862646
3.3125,-0.41237458512028713,-0.7849664395783607,-1.2529063763753934,-2.481427574130881
3.34375,-0.3985601121541348,-0.7670893851438261,-1.199385693771165,-2.4203285889419366
3.375,-0.38431388390861354,-0.7481332930245318,-1.1433805654229008,-2.354216108251298
3.40625,-0.36967768943433554,-0.7281681355390135,-1.0850069967978888,-2.283227071024668
3.4375,-0.3546929351253595,-0.7072639815153458,-1.0243858994371324,-2.2075085175959077
3.46875,-0.33940056989175843,-0.6854908484785117,-0.9616428405063692,-2.127217285100856
3.5,-0.3238410134101508,-0.6629185591531812,-0.8969077827032351,-2.0425196826178875
3.53125,-0.30805408751308827,-0.6396166024560948,-0.8303148150593166,-1.953591146688089
3.5625,-0.2920789507699618,-0.6156539991379928,-0.7620018751946905,-1.8606158779285886
3.59375,-0.27595403630398113,-0.5910991722208511,-0.6921104636002625,-1.7637864594917259
3.625,-0.25971699288181255,-0.5660198223621036,-0.6207853505397247,-1.6633034581603643
3.65625,-0.2434046293046449,-0.540482808263584,-0.5481742761782449,-1.5593750089056124
3.6875,-0.22705286212179793,-0.5145540322291211,-0.47442764455902725,-1.4522163837674733
3.71875,-0.2106966666805072,-0.48829833096110276,-0.39969821206163103,-1.3420495459514232
